North Adelaide Railway Station,-34.906355,138.581548,1
North Haven Railway Station,-34.786172,138.494555,50
North Haven Railway Station,-34.786393,138.495027,50
Nurlutta Railway Station,-34.751234,138.643973,13
Nurlutta Railway Station,-34.750328,138.644207,13
Oaklands Railway Station,-35.009556,138.540951,75
Oaklands Railway Station,-35.009013,138.541723,75
Osborne Railway Station,-34.792808,138.499184,49
Osborne Railway Station,-34.793276,138.499175,49
Outer Harbor Railway Station,-34.778803,138.483889,51
Outer Harbor Railway Station,-34.778839,138.483906,51
Ovingham Railway Station,-34.895664,138.584382,2
Ovingham Railway Station,-34.89626,138.584277,2
Parafield Gardens Railway Station,-34.79097,138.623675,9
Parafield Gardens Railway Station,-34.791591,138.623043,9
Parafield Railway Station,-34.782731,138.631028,10
Parafield Railway Station,-34.782865,138.630904,10
Peterhead Railway Station,-34.834511,138.491938,43
Peterhead Railway Station,-34.835049,138.492034,43
Pinera Railway Station,-35.00084,138.624193,61
Pinera Railway Station,-35.000591,138.62438,61
Port Adelaide Railway Station,-34.849148,138.507387,40
Port Adelaide Railway Station,-34.849159,138.507894,40
Salisbury Railway Station,-34.762408,138.642389,12
Salisbury Railway Station,-34.763132,138.642302,12
Seacliff Railway Station,-35.0328,138.521378,79
Seacliff Railway Station,-35.032025,138.521449,79
Seaford Meadows Railway Station,-35.179365,138.487287,87
Seaford Meadows Railway Station,-35.178377,138.487813,87
Seaford Railway Station,-35.189967,138.483444,88
Seaford Railway Station,-35.188857,138.483534,88
Seaton Park Railway Station,-34.890613,138.514855,28
Seaton Park Railway Station,-34.890261,138.515176,28
Smithfield Railway Station,-34.681885,138.68706,18
Smithfield Railway Station,-34.682357,138.686275,18
St Clair Railway Station,-34.87042,138.52934,37
St Clair Railway Station,-34.87055,138.52933,37
Tambelin Railway Station,-34.628232,138.726211,21
Tambelin Railway Station,-34.628644,138.725765,21
Taperoo Railway Station,-34.805356,138.499091,47
Taperoo Railway Station,-34.805862,138.499101,47
Tonsley Railway Station,-35.009615,138.567341,64
Tonsley Railway Station,-35.008787,138.567306,64
Torrens Park Railway Station,-34.984123,138.611081,55
Torrens Park Railway Station,-34.983718,138.61112,55
Unley Park Railway Station,-34.966647,138.598,53
Unley Park Railway Station,-34.966235,138.597601,53
Warradale Railway Station,-35.011263,138.533019,76
Warradale Railway Station,-35.011272,138.534156,76
West Croydon Railway Station,-34.891507,138.55669,33
West Croydon Railway Station,-34.891995,138.557182,33
Womma Railway Station,-34.703986,138.670099,16
Womma Railway Station,-34.704596,138.66993,16
Woodlands Park Railway Station,-34.983287,138.566961,72
Woodlands Park Railway Station,-34.9825,138.567483,72
Woodville Park Railway Station,-34.881262,138.543347,35
Woodville Park Railway Station,-34.881706,138.543845,35
Woodville Railway Station,-34.876763,138.537473,36
Woodville Railway Station,-34.877333,138.537997,36
