Outer Harbor Railway Station,-34.778839,138.483906
Ovingham Railway Station,-34.895664,138.584382
Ovingham Railway Station,-34.89626,138.584277
Parafield Gardens Railway Station,-34.79097,138.623675
Parafield Gardens Railway Station,-34.791591,138.623043
Parafield Railway Station,-34.782731,138.631028
Parafield Railway Station,-34.782865,138.630904
Peterhead Railway Station,-34.834511,138.491938
Peterhead Railway Station,-34.835049,138.492034
Pinera Railway Station,-35.00084,138.624193
Pinera Railway Station,-35.000591,138.62438
Port Adelaide Railway Station,-34.849148,138.507387
Port Adelaide Railway Station,-34.849159,138.507894
Salisbury Railway Station,-34.762408,138.642389
Salisbury Railway Station,-34.763132,138.642302
Seacliff Railway Station,-35.0328,138.521378
Seacliff Railway Station,-35.032025,138.521449
Seaford Meadows Railway Station,-35.179365,138.487287
Seaford Meadows Railway Station,-35.178377,138.487813
Seaford Railway Station,-35.189967,138.483444
Seaford Railway Station,-35.188857,138.483534
Seaton Park Railway Station,-34.890613,138.514855
Seaton Park Railway Station,-34.890261,138.515176
Smithfield Railway Station,-34.681885,138.68706
Smithfield Railway Station,-34.682357,138.686275
St Clair Railway Station,-34.87042,138.52934
St Clair Railway Station,-34.87055,138.52933
Tambelin Railway Station,-34.628232,138.726211
Tambelin Railway Station,-34.628644,138.725765
Taperoo Railway Station,-34.805356,138.499091
Taperoo Railway Station,-34.805862,138.499101
Torrens Park Railway Station,-34.984123,138.611081
Torrens Park Railway Station,-34.983718,138.61112
Unley Park Railway Station,-34.966647,138.598
Unley Park Railway Station,-34.966235,138.597601
Warradale Railway Station,-35.011263,138.533019
Warradale Railway Station,-35.011272,138.534156
West Croydon Railway Station,-34.891507,138.55669
West Croydon Railway Station,-34.891995,138.557182
Womma Railway Station,-34.703986,138.670099
Womma Railway Station,-34.704596,138.66993
Woodlands Park Railway Station,-34.983287,138.566961
Woodlands Park Railway Station,-34.9825,138.567483
Woodville Park Railway Station,-34.881262,138.543347
Woodville Park Railway Station,-34.881706,138.543845
Woodville Railway Station,-34.876763,138.537473
Woodville Railway Station,-34.877333,138.537997
